Year,Age group,Incidence,Inc_LCI,Inc_UCI,CoB
2003,70-74,12.362782207774735,10.841908166045704,14.037267114362761,Total (LFS)
2004,70-74,12.527567172554189,10.992644130619775,14.216837855640529,Total (LFS)
2005,70-74,13.792080211394977,12.178397671191453,15.560091265767452,Total (LFS)
2006,70-74,14.458009920178215,12.805356542422148,16.26477740356763,Total (LFS)
2007,70-74,11.231436428258293,9.78669219418964,12.829391658540304,Total (LFS)
2008,70-74,13.018217877165995,11.472213071339871,14.714490761893437,Total (LFS)
2009,70-74,14.377448971288533,12.764746010736435,16.13749815234909,Total (LFS)
2010,70-74,12.399764453876829,10.91307999465871,14.03245883157547,Total (LFS)
2011,70-74,13.255139593499123,11.712744649779708,14.944171803759636,Total (LFS)
2012,70-74,12.614056197591305,11.11604842982745,14.257666843556333,Total (LFS)
2013,70-74,10.820147981152745,9.45242568119396,12.330166574087752,Total (LFS)
2014,70-74,10.657374671590683,9.324454958283871,12.12737077014501,Total (LFS)
2015,70-74,8.625817832559914,7.451744572641132,9.932365868839176,Total (LFS)
2016,70-74,0,0,0.15721416491422344,Total (LFS)
2000,75-79,14.21335221912088,12.443107200207876,16.16481828448773,Total (LFS)
2001,75-79,16.25744794333904,14.34119990027314,18.358438140250048,Total (LFS)
2002,75-79,16.40837726850567,14.470727288315192,18.53321169002638,Total (LFS)
2003,75-79,12.885553954429792,11.169771018106175,14.790316170768046,Total (LFS)
2004,75-79,13.205429919676536,11.467658676572267,15.132141419774939,Total (LFS)
2005,75-79,13.693176487294508,11.927838020788162,15.646181521656233,Total (LFS)
2006,75-79,14.264967690162388,12.46949345139062,16.246370604122628,Total (LFS)
2007,75-79,15.08867401730334,13.24735897991142,17.114338782636626,Total (LFS)
2008,75-79,13.702851495191911,11.955672321035744,15.63353493607453,Total (LFS)
2009,75-79,14.72026244125038,12.909370308874438,16.714057758892324,Total (LFS)
2010,75-79,14.808242476675481,12.997527113808976,16.800639906203404,Total (LFS)
2011,75-79,14.79986381689097,12.997391430306665,16.782405453323243,Total (LFS)
2012,75-79,13.202254945144631,11.5152145251938,15.066908231823936,Total (LFS)
2013,75-79,13.498333836097363,11.810094863426894,15.360189939265156,Total (LFS)
2014,75-79,13.931097822105041,12.234432268298342,15.797262390593357,Total (LFS)
2015,75-79,9.748074613576689,8.345664808620695,11.31870485214435,Total (LFS)
2016,75-79,0,0,0.20947818715741107,Total (LFS)
2000,80-84,14.362962970300366,12.120344919740061,16.90023567226896,Total (LFS)
2001,80-84,16.06552505478994,13.760680882988384,18.645986405346896,Total (LFS)
2002,80-84,14.80198188903068,12.654418343315934,17.209570844122407,Total (LFS)
2003,80-84,13.959142857868008,11.910441270608546,16.259083435127593,Total (LFS)
2004,80-84,14.434831975330145,12.39759167409893,16.711313609172375,Total (LFS)
2005,80-84,14.24430695748929,12.211999304423811,16.518160551622778,Total (LFS)
2006,80-84,13.179230866759644,11.204349717114253,15.401958944049328,Total (LFS)
2007,80-84,13.833171946327292,11.802958371480177,16.112357265620336,Total (LFS)
2008,80-84,12.662156290733039,10.73528854006413,14.835030650146495,Total (LFS)
2009,80-84,13.920705706512448,11.912382089015885,16.170678125808614,Total (LFS)
2010,80-84,13.889802691697552,11.885937415309055,16.13478032606884,Total (LFS)
2011,80-84,14.506142824726895,12.458838164135322,16.793870716178695,Total (LFS)
2012,80-84,13.734480791347577,11.811513938325463,15.881284549792692,Total (LFS)
2013,80-84,12.59622559680598,10.70870661035627,14.720627588466321,Total (LFS)
2014,80-84,10.61098672252575,8.92037345326317,12.528808775893491,Total (LFS)
2015,80-84,10.081813519791314,8.404753682316839,11.995445326492238,Total (LFS)
2016,80-84,0,0,0.27453821922499666,Total (LFS)
2000,85-89,15.458055303033092,12.329950302312826,19.13812430666715,Total (LFS)
